chapter,sentences
1,我 姓 張，是 騰飛 公司 的 業務 部 經理。
1,我 的 名字 叫 張 宏 岳，宏 是 宏大 的 宏，岳 是 岳飛 的 岳。
1,我 叫 白 可 凡，可 是 可以 的 可，凡 是 平凡 的 凡。我 的   祖籍  在 福建 廈門，但是 在 廣州 出生。
1,我 姓 李，叫 傑克，泰國 人。現在 在 澳洲 銀行 工作。
1,我 今年 28 歲，祖籍 山西 大同，畢業 於 南京 大學 金融系  投資 與 理財 專業，獲得 了 碩士 學位。
1,很高興 以後 能和 大家 一起 工作！希望 大家 多多 指教。
2,很 高興 這次 能 來 北京 總部 參加 新 產品 的 研發會。
2,我來 為您 分別 介紹 一下 北京 總部 產品 設計部 的 同事。
2,我早就 聽說過 你了，你 參與 設計的 產品 都很 暢銷 啊！
2,此次 會議 的 議題 是 商議 我們 公司 今年 新 開發 的    玩具 在 內地 及 海外 市場 的 推廣 計劃。
2,那 我們 兩地 的 銷售 團隊 怎樣 分工 進行 推廣？
3,我們 銷售部 也 已經 把 培訓 任務 佈置 下去 了。
3,謝謝 大家 的 支持 和 配合。
3,說回 正經 的。
3,那 我們 今天 的 會議 就到 這裡，有事 我們 及時 溝通。
3,首先 要 表揚 一下 市場 開發部。
3,你們的 銷售工作 跟進得 不夠積極，你們 有什麼 解釋 嗎？
3,我們 也 被 搞得 很 被動。
3,我們 也 面臨 同樣 的 問題。
3,你們的 困難 我 都 明白，但 今天 坐 在 這裡 就是 為了 一起 想 辦法。
3,那就 這麼 決定 了。
3,進一步 擴大 我們 的 業務，爭取 把 太原、青島 和 鄭州 拿下 來。
3,有 一些 具體 事情 我 還想 向您 請教 一下。
3,你們 的 籌備 工作 進行 的 怎麼樣 了？
3,你 說 這話 就 見外 了。
3,我們 還要 多 向 你們 學習 呢！
4,我們 部門 正 面臨 著 巨大 的 挑戰 與 壓力。
4,我們 的 市場 份額 已經 被 他們 搶去了 不少。
4,在 接下來 的 工作 中，還要 依靠 在坐 各位 的 智慧 及 努力。
4,今天 的 會 就 到此 結束，散會 吧。
4,除了 張 經理 以外，所有 人員 都 到 了。
4,今天 會議 的 議題 是 討論 收購 滬星 公司 的 可行性。
4,我們 下週 再 開會 討論 吧。
